flow_id,time_offset,src_port,dst_port,protocol,packet_size,packet_rate,byte_rate,flow_duration,total_packets,total_bytes,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,tcp_flags_psh,icmp_type,connection_state,service,entropy
flow_000000,0.0,40912,1,6,61.0277543193648,94.91262221963795,7070.735690404408,0.0718942387110496,3.480402501806912,238.3550196710173,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.2539532436021545
flow_000001,0.1,43717,2,6,59.08789936371808,101.61427229872864,6944.195902004066,0.0797317335085367,2.002152371396729,170.90133643388157,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.357212731275983
flow_000002,0.2,47772,3,6,54.85982171314525,101.6714592735422,6909.020758272233,0.1444451270144121,2.003541765159072,166.7884431181375,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.473500658884961
flow_000003,0.3,49721,4,6,60.30351995065328,81.0396354160298,5385.058020088587,0.1366181704912075,3.1631126687786426,250.22792810155687,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.422272109503832
flow_000004,0.4,42428,5,6,60.740124935970776,110.12094216622542,5848.773383956458,0.0950642454571506,2.5718021214280053,82.32560047666041,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.140151390315729
flow_000005,0.5,43004,6,6,64.35654512169043,104.97840318029655,6518.509740511823,0.1344107495422081,1.5533479185998271,171.11770838154996,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.636978846049654
flow_000006,0.6,49072,7,6,72.22444838527102,79.83048684961587,6482.441091521306,0.081824296755449,2.6494064465277463,176.69825643440512,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.421846467088696
flow_000007,0.7,47348,8,6,50.11840216418025,96.69645478289434,6594.715614986328,0.0605090649584082,3.4506819137953366,140.16293465752608,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.019817406629943
flow_000008,0.8,40316,9,6,56.00739427592345,97.81950962492392,4231.25628799037,0.1629973340448963,3.580302218953193,248.70740854691087,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.082899580863976
flow_000009,0.9,44754,10,6,61.11470997774183,114.9511637978386,7197.063912402274,0.1662884972003276,2.16723853307419,134.49664783520174,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.035165662852928
flow_000010,1.0,40671,11,6,65.05384518505815,123.462505548675,4296.689556323948,0.0678220051324991,2.9540843844842475,135.12359086212896,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.063112964704388
flow_000011,1.1,47003,12,6,61.73167975737664,99.83272445045324,5249.105136323299,0.0733116054157865,3.4147676201167414,60.0,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.494206508471382
flow_000012,1.2,48002,13,6,65.61496327081223,66.38595870029769,6195.316500230804,0.144566135967419,1.731737568015106,235.5374733169648,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.371892155206697
flow_000013,1.3,47745,14,6,52.60090186426328,114.52231610937878,5970.588643880901,0.0653264218056416,2.2275652734368405,163.5339657779544,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.48134019635716
flow_000014,1.4,44625,15,6,58.41167384617312,143.96145343055446,7418.721592246013,0.1400406289787105,2.986809800861481,163.6219638345926,1.0,0.0,0.0,0,0.0,0.0,0.0,99,3.941591164893487
flow_000015,1.5,40752,16,6,67.30801709282646,114.35809348492845,4829.21452550962,0.0487775874367789,2.0907881719257926,169.3391065828097,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.362580856320959
