flow_id,time_offset,src_port,dst_port,protocol,packet_size,packet_rate,byte_rate,flow_duration,total_packets,total_bytes,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,tcp_flags_psh,icmp_type,connection_state,service,entropy
flow_000000,0.0,52400,80,6,69.94777964194682,1042.836828042601,60396.70392318533,1.5897421665227291,814.4492496317151,82963.55265991625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.535371389053161
flow_000001,1.0,48673,80,6,50.08485021004401,1401.1676831456443,58716.61593491284,2.0741233474983165,1188.5379706237302,48048.029453530726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0722819722261505
flow_000002,2.0,59494,80,6,64.0382890444766,802.8263060413052,74267.78072140613,1.1729566603326926,1085.505431229203,47540.65636076502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.269571243607665
flow_000003,3.0,56182,80,6,60.405518807773234,773.5342355550692,67178.48548279378,0.74432730991419,1235.2048430942375,44289.91657490456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74263053369625
flow_000004,4.0,45179,80,6,64.77330321730214,1218.216104084242,64088.38654756964,1.4984949392057714,772.9190173011405,67173.35208497275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1504381065098235
flow_000005,5.0,54072,80,6,58.74269134406629,1192.5984555757695,30000.0,1.581643635151083,1140.7304961627406,61888.29607547438,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.091258171687994
flow_000006,6.0,1506,80,6,73.54832248859304,571.1800176091937,38640.9114327095,0.8356272911835994,787.194643818287,45804.02702035094,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071908371471164
flow_000007,7.0,6193,80,6,62.96686889811768,824.6225298729614,72301.16571767928,0.7817219334337918,942.214791190474,66542.64127099837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11157033537134
flow_000008,8.0,65197,80,6,64.8817391491927,641.9681986926685,48721.636160365415,0.9813076568399816,834.1007358880606,46603.093510690655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9258439449334293
flow_000009,9.0,34057,80,6,66.71932903457326,1201.0388905151576,74081.7381743347,1.4419977183058168,775.7720063588554,68200.38178460568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.130826807526329
flow_000010,10.0,6871,80,6,65.0123244742666,1187.030199682306,55858.2736550641,1.5080000341028608,1018.13715971492,77937.73261690297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7581763968575665
flow_000011,11.0,45146,80,6,50.47556453388457,989.1437969179548,55401.66927876312,0.8881157269818762,1157.3097249302295,47784.50312439688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.620828819966561
flow_000012,12.0,62726,80,6,55.07080631165466,1224.7174662679624,39155.28360747684,1.4321998292756737,1023.0567455081704,58033.29570579496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.757350821822293
flow_000013,13.0,13709,80,6,55.594012409855104,1135.1736686759723,61939.354767887606,0.7281181916950505,1003.130138195714,87021.70878741589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442250034975457
flow_000014,14.0,53986,80,6,66.66579484728341,1074.753447687293,34257.128192382894,2.0313886447399905,954.418935886356,57002.41152509011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.771488316168816
flow_000015,15.0,32490,80,6,58.11172256290055,898.3089769967206,47859.21437424088,0.5033786377186144,1188.987765944706,55926.36173685888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.568748781913865
flow_000016,16.0,60814,80,6,56.69896000105323,711.7309259930048,56704.71469094494,1.3468046571353525,839.1969546299486,99055.36819348662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22284968382162
flow_000017,17.0,4402,80,6,61.61420786753592,943.4037749279628,72595.11115265856,0.8874123392217118,1177.360604305732,79610.39829703895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192250740958116
flow_000018,18.0,54966,80,6,69.42057017997567,996.7678041933628,67460.35206363416,0.8976392627514904,995.3679413429963,58063.61738481944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5454347825425034
