flow_id,time_offset,src_port,dst_port,protocol,packet_size,packet_rate,byte_rate,flow_duration,total_packets,total_bytes,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,tcp_flags_psh,icmp_type,connection_state,service,entropy,label,attack_type
flow_000000,0.0,40912,1,6,61.027754319364796,94.91262221963795,7070.735690404408,0.0718942387110496,3.4804025018069114,238.3550196710173,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.2539532436021545,1,Port_Scan
flow_000001,0.1,43717,2,6,59.08789936371808,101.61427229872865,6944.195902004066,0.0797317335085367,2.002152371396729,170.90133643388157,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.3572127312759825,1,Port_Scan
flow_000002,0.2,47772,3,6,54.859821713145244,101.6714592735422,6909.020758272233,0.1444451270144121,2.003541765159072,166.7884431181375,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.473500658884961,1,Port_Scan
flow_000003,0.3,49721,4,6,60.30351995065328,81.0396354160298,5385.058020088587,0.1366181704912075,3.1631126687786426,250.22792810155687,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.4222721095038318,1,Port_Scan
flow_000004,0.4,42428,5,6,60.740124935970776,110.12094216622542,5848.773383956458,0.09506424545715064,2.5718021214280053,82.32560047666041,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.140151390315729,1,Port_Scan
flow_000005,0.5,43004,6,6,64.35654512169043,104.97840318029655,6518.509740511823,0.1344107495422081,1.5533479185998273,171.11770838154996,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.636978846049654,1,Port_Scan
flow_000006,0.6,49072,7,6,72.22444838527102,79.83048684961587,6482.441091521306,0.08182429675544903,2.6494064465277463,176.69825643440512,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.421846467088696,1,Port_Scan
flow_000007,0.7,47348,8,6,50.11840216418025,96.69645478289434,6594.715614986328,0.060509064958408264,3.4506819137953366,140.16293465752608,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.019817406629943,1,Port_Scan
flow_000008,0.8,40316,9,6,56.00739427592345,97.81950962492391,4231.25628799037,0.1629973340448963,3.5803022189531934,248.70740854691087,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.082899580863976,1,Port_Scan
flow_000009,0.9,44754,10,6,61.114709977741825,114.9511637978386,7197.063912402274,0.16628849720032762,2.16723853307419,134.49664783520174,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.035165662852928,1,Port_Scan
flow_000010,1.0,40671,11,6,65.05384518505815,123.462505548675,4296.689556323948,0.06782200513249917,2.9540843844842475,135.12359086212896,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.063112964704388,1,Port_Scan
flow_000011,1.1,47003,12,6,61.73167975737664,99.83272445045324,5249.105136323299,0.07331160541578655,3.4147676201167414,60.0,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.494206508471382,1,Port_Scan
flow_000012,1.2,48002,13,6,65.61496327081223,66.38595870029769,6195.316500230804,0.14456613596741902,1.7317375680151061,235.53747331696476,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.371892155206697,1,Port_Scan
flow_000013,1.3,47745,14,6,52.60090186426328,114.52231610937878,5970.588643880901,0.0653264218056416,2.2275652734368405,163.5339657779544,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.48134019635716,1,Port_Scan
flow_000014,1.4,44625,15,6,58.41167384617312,143.96145343055446,7418.721592246013,0.14004062897871056,2.986809800861481,163.6219638345926,1.0,0.0,0.0,0,0.0,0.0,0.0,99,3.941591164893487,1,Port_Scan
flow_000015,1.5,40752,16,6,67.30801709282646,114.35809348492845,4829.21452550962,0.04877758743677894,2.0907881719257926,169.3391065828097,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.362580856320959,1,Port_Scan
flow_000016,1.6,49823,17,6,55.698751712665135,94.54380743979037,5635.906656359513,0.08566797069303969,2.6720625695937867,239.66291962964482,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.224188460728402,1,Port_Scan
flow_000017,1.7,46061,18,6,50.0,108.0207381010053,4030.7155084522556,0.14892932219149385,5.495783411119007,260.6430979580793,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.6650568876374243,1,Port_Scan
flow_000018,1.8,48751,19,6,55.916143244243244,116.00506198499484,6131.600379523279,0.05154687124689242,1.4927752643373413,93.37702946699301,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.8913855635274723,1,Port_Scan
flow_000019,1.9,49455,20,6,62.18660909150197,102.26008855754527,5791.913466005328,0.07060374277424136,4.424657683236475,156.8539464313146,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.981361651841093,1,Port_Scan
flow_000020,2.0,42269,21,6,59.645973063138435,126.29869710513131,4760.002176292904,0.11881257130757517,3.3416653786764132,123.24179902317613,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.000608016376949,1,Port_Scan
flow_000021,2.1,44837,22,6,53.57563060256132,77.35331562328824,7309.182538139306,0.010090549765186224,1.7759815265448244,168.81681374114441,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.193132081579868,1,Port_Scan
flow_000022,2.2,41690,23,6,56.392362165579456,91.9194019443908,7079.993237745874,0.10364290958121526,3.678589867365029,175.4470536713954,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.722980471549806,1,Port_Scan
flow_000023,2.3,43645,24,6,53.3470941280786,109.18238937957503,6072.086283322841,0.15806189425843653,3.0428999623174833,94.06564923098512,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.187958552618567,1,Port_Scan
flow_000024,2.4,40357,25,6,53.934937979622156,113.96639390406267,7138.49133983038,0.14323997451573778,4.205337268390027,198.4332478895843,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.942918404605016,1,Port_Scan
flow_000025,2.5,41357,26,6,55.60502626954002,89.05727064218671,5907.565966767604,0.0975185213522225,3.6604936491740467,157.5407997915574,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.7806397189221626,1,Port_Scan
flow_000026,2.6,40832,27,6,60.52741285384176,90.94605617741338,6713.7487808535225,0.10103138051902649,3.1963238343273277,219.024410482661,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.522949293230442,1,Port_Scan
flow_000027,2.7,47475,28,6,50.0,86.66846421490892,6863.099748558435,0.17459052166022787,2.6935568329945667,181.51490092955584,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.03824768307078,1,Port_Scan
flow_000028,2.8,40000,29,6,66.82869685484964,85.10776284301222,4931.397034709667,0.1685290106493853,4.168917569020138,94.18937531658003,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.184455122697067,1,Port_Scan
flow_000029,2.9,47089,30,6,59.48243991886479,110.38016881672515,6432.461207295806,0.09527049653565563,2.6079601789608087,210.7318486636363,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.876638264317585,1,Port_Scan
flow_000030,3.0,42599,31,6,54.46670572368455,99.24992613460894,6168.389105826028,0.068518298123524,1.5998165032420242,112.9968798935582,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.8278558575879225,1,Port_Scan
flow_000031,3.1,40583,32,6,55.13232081427171,125.94526357441947,4975.903469894243,0.14286469846083966,1.104127376486858,118.42563735766873,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.397365077368682,1,Port_Scan
flow_000032,3.2,48336,33,6,56.82631913419085,78.12737558518015,4722.53531066123,0.15652810163091174,1.76400043325497,164.16081821004414,1.0,0.0,0.0,0,0.0,0.0,0.0,99,4.252289476079946,1,Port_Scan
flow_000033,3.3,46634,34,6,60.031232278563365,96.85605852574318,6497.898710257804,0.16893669554455007,3.8029650433951283,165.74498481923337,1.0,0.0,0.0,0,0.0,0.0,0.0,99,3.760365085384821,1,Port_Scan
flow_000034,3.4,46635,35,6,60.756708391686544,114.71663490721474,5718.085830248943,0.12918033111701602,2.6367770303172797,92.32654533446336,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.5551234477703417,1,Port_Scan
flow_000035,3.5,42764,36,6,59.03082134493341,106.88530795154892,4535.1044478944,0.08219412255372013,2.227992735734245,172.6100518072345,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.176530455674008,1,Port_Scan
flow_000036,3.6,40925,37,6,56.22292986338013,78.0358057008647,6579.480491220317,0.01650380894519328,2.566430269223179,175.55019848576288,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.096833005345614,1,Port_Scan
flow_000037,3.7,47884,38,6,59.94518629032722,123.04281869512477,6934.835929560244,0.19691344912202516,3.8294435159858113,173.59406878244454,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.171280746287313,1,Port_Scan
flow_000038,3.8,44930,39,6,50.0,101.91753524793606,4828.938895328221,0.1801416643743558,3.6333199557301064,95.60160330275752,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.9606389338380827,1,Port_Scan
flow_000039,3.9,43874,40,6,53.92321448634935,138.3409619317469,5998.455665644809,0.06165047969052679,3.1620042703130897,187.19538731693297,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.257631909084645,1,Port_Scan
flow_000040,4.0,42871,41,6,56.61894589657091,97.35793437286264,7518.425247654903,0.10953447375263688,2.400204527669592,210.97630040895845,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.480111484223143,1,Port_Scan
flow_000041,4.1,45005,42,6,53.28885979736718,123.16014500476378,5088.598919274737,0.08896103450318874,2.6094472834110785,112.67020651637493,1.0,0.0,0.0,1,0.0,0.0,0.0,99,4.459136634216448,1,Port_Scan
flow_000042,4.2,49772,43,6,58.906423949031364,92.832561574301,7707.175364682125,0.10331111234928024,2.867669950623345,126.22225895061744,1.0,0.0,0.0,1,0.0,0.0,0.0,99,3.7543247525644508,1,Port_Scan
