flow_id,time_offset,src_port,dst_port,protocol,packet_size,packet_rate,byte_rate,flow_duration,total_packets,total_bytes,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,tcp_flags_psh,icmp_type,connection_state,service,entropy,label,attack_type
flow_000000,274.16232,47600,443,17,493.17316320481365,8.824369703839402,6420.211349767806,28.834286535466713,72.20460235660755,40220.71768964922,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.65787763495598,0,Normal
flow_000001,7801.785061,51600,443,6,176.08902903958648,4.302526966898502,630.6070125002393,8.105341877136171,33.22718269990684,5237.831641379702,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.41979181292513,1,Malware_C2
flow_000002,1120.219312,41235,8080,6,957.1327298363125,10.483965337503669,7812.223554699499,1.1581848372914714,42.337398333396294,35017.88896888599,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.075324805664475,1,SQL_Injection
flow_000003,1027.163312,48304,80,6,376.1519475796787,13.384719349806513,5724.185186090477,45.184220306521794,150.35721893046272,46539.335412727654,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.198663046749038,0,Normal
flow_000004,1589.163312,40988,21,17,583.7504634817558,5.075859653193709,5359.809128427088,20.349544194238206,86.9994833474642,44101.45386255732,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.659200582640516,0,Normal
flow_000005,296.16232,56704,21,17,470.7954055824977,11.762175099418037,5648.52907130051,19.12251324646332,150.76939057314627,42204.88282694547,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.745003260730049,0,Normal
flow_000006,588.195309,45521,80,6,49.55714458446123,1214.7248623699268,54697.84797916526,0.7225944739195542,585.9579546311787,52751.015729804116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532086909306234,1,DDoS
flow_000007,650.215317,41550,3389,6,148.30414668958835,41.651885119128806,3826.9713639020247,0.9411864232320943,52.89484331113813,8184.946892840238,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.549876128292405,1,Brute_Force
flow_000008,12.900311,47632,128,6,61.63957635842178,120.50661236710721,5897.496652380314,0.04631891079511755,4.307881467021781,196.93614571600438,1.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,4.2929875501784185,1,Port_Scan
flow_000009,770.215317,43673,21,6,181.29414638421375,29.05008278794471,3838.0519094217934,2.087071299825682,58.199271569512995,14649.413518817895,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.516895764682549,1,Brute_Force
